Name,Behavior,Health,+hp/wave,Speed,Damage,+dmg/wave,Armor,+armor /wave,Knockback Resistance,Materials Dropped,Consumable Drop Rate,Loot Crate Drop Rate,First Wave Appearing,ID†
Anemone,Wanders slowly and creates a circle of projectiles around that move towards itself.,8,4.0,100,1,0.85,,,0.6,2,2%,2%,,
Anglerfish,"Wanders slowly around until a player comes close, then will chase it charging up to 3 times before briefly stopping and charge again.",10,10.0,200,1,1.1,,,0.2,3,3%,3%,,
Blobfish,"Slowly wanders around until killed, then spawns 4 Lampreys and a Sea Pig. If the last player weapon hit was done by a melee weapon, it spawns only 2 Lampreys.",10,8.0,200,1,0.6,,,0.5,5,5%,5%,,
Clam,"Runs away if the player is too close, Fires a slow projectile that may directly target the player or somewhere near.",2,3.0,130,1,0.6,,,0.75,2,3%,3%,,
Colossal Squid,Closes in on the player and fires two crossing spikes toward them.,30,20.0,200,1,1.0,,,0.75,3,3%,3%,,
Crab,Closes in on the player and then fires a spike and moves backwards.,4,3.0,250,1,0.6,,,0.5,1,2%,2%,,
Diplocaulus,Slowly wanders the map leaving behind slasher eggs every few seconds.,30,35.0,200,1,0.85,,,0.8,5,5%,5%,,
Dragonfish,Shoots lines of bullets in the players direction,100,50.0,300,1,1.15,,,0.9,8,5%,5%,,
Goblin Shark,Charges to where the player is moving,12,10.0,275,1,1.1,,,0.7,3,1%,1%,,
Hermit,Wanders around and heals enemies,5,5.0,300,1,0.85,1.0,0.25,0.5,2,3%,3%,,
Iron Lung,"Iron Lung is spawned by Stargazers, who will seek it out and enter it. After a few seconds of mutation (during which it bobs and turns red), a Dragonfish spawns.",5,4.0,0,1,0.25,3.0,0.5,1.0 (can't knockback),1,0%,0%,,
Lobster,Chases the player and takes reduced damage from all sources.,1,5.0,250,1,0.85,1.0,0.5,0.25,1,1%,1%,,
Looting Pig,"Runs around, drops a crate on death",5,30.0,350,1,0.85,,,0.0,8,100%,100%,,
Narwhal,"Closes in on the player and can charge toward them, firing a spike in front of it.",10,8.0,250,1,1.15,,,0.9,2,3%,3%,,
Plankton,Chases the player and sometimes charges a small distance .,1,1.0,225,1,0.4,,,0.0,1,1%,1%,,
Pufferfish,Explodes into 10 projectiles when killed by non melee damage or when it dies after being charmed.,5,2.0,175,1,0.85,,,0.7,2,3%,1%,,
Sea Pig,"Wanders around, drops a fair number of materials and gives 1 curse on death",30,15.0,150,1,0.85,,,0.6,5,1%,1%,,
Shrimp,"Chases the character, deals damage on touch",2,2.0,300,1,0.6,,,0.0,1,1%,1%,,
Stargazer,"Moves toward its Iron Lung, becomes buffed if its iron lung dies",30,15.0,100,1,0.85,,,0.5,3,2%,2%,,
Stonefish,"Slowly wanders the map buffing enemies and spawning six projectiles around the player every few seconds. Buffed enemies gain +150% health, +25% damage, and +50% speed, and are outlined in red.",20,5.0,150,1,0.6,,,0.7,2,3%,3%,,
Vampire Squid,Chases the player while firing two projectiles in front of itself.,10,5.0,275,1,1.0,,,0.0,1,1%,1%,,
Viperfish,"Starts growing after spawning, after a few seconds starts chasing the player.",1,3.0,80,1,0.65,,,0.0,1,2%,2%,,
Walrus,Charges towards the player every few seconds.,40,25.0,200,1,1.2,,,0.9,3,3%,3%,,
