Amount of Tree items/stat,Amount of Trees Spawned every 10 Seconds
0 Tree Stat,0 (49.5%) or 1 (50.5%)
1 Tree Stat,0 (17.5%) or 1 (82.5%)
2 Tree Stat,0 (0.5%) or 1 (83.5%) or 2 (16.0%)
3 Tree Stat,1 (48.5%) or 2 (51.5%)
4 Tree Stat,1 (18.5%) or 2 (81.5%)
5 Tree Stat,1 (1.0%) or 2 (83.5%) or 3 (15.5%)
6 Tree Stat,2 (47.5%) or 3 (52.5%)
7 Tree Stat,2 (19.5%) or 3 (80.5%)
8 Tree Stat,2 (1.5%) or 3 (83.5%) or 4 (15.0%)
9 Tree Stat,3 (46.5%) or 4 (53.5%)
10 Tree Stat,3 (20.5%) or 4 (79.5%)
11 Tree Stat,"3 (2.0%) or 4 (83.5%) or 5 (14,5%)"
12 Tree Stat,4 (45.5%) or 5 (54.5%)
13 Tree Stat,4 (21.5%) or 5 (78.5%)
14 Tree Stat,"4 (2.5%) or 5 (83.5%) or 6 (14,0%)"
15 Tree Stat,5 (44.5%) or 6 (55.5%)
